,Data_Completeness_Score_Name,People_Positive_New_Cases_Count,People_Positive_Cases_Count,People_Negative_New_Count,People_Negative_Cases_Count,People_Test_Results_New_Count,People_Pending_Cases_Count,Total_Tested_Positive_per_100k,New_Cases_per_100k_Prevalence,People_Positive_Negative_Test_Results_Count,People_Hospitalized_New_Count,People_Hospitalized_Currently_Count,People_Hospitalized_Cumulative_Count,Hospitalizations_per_100k_Incidence,People_In_Intensive_Care_Currently_Count,People_In_Intensive_Care_Cumulative_Count,People_Intubated_Currently_Count,People_Intubated_Cumulative_Count,People_Death_New_Count,People_Death_Count,Deaths_per_100k,Death_Rate_Prevalence,Death_Rate_Incidence,People_Recovered_Count,Recovery_Rate,Report_Date,Reported_Date_Time,Day,Month,Province_State_Code,Pop
6003,A,158,2809.0,2,9915.0,160,,26.16406330045361,1.4716703458425313,12724,41,,707.0,,,,,,7,87.0,0.8103501271411407,4.430379746835443,3.097187611249555,,,3/30/2020,2020-03-30 11:28:00,90.0,3.0,GA,10736100.0
6004,,2,58.0,18,352.0,20,,,1.185009628203229,410,0,19.0,,,2.0,,,,0,1.0,,0.0,1.7241379310344827,7.0,12.068965517241379,3/30/2020,2020-03-30 04:30:00,90.0,3.0,GU,168775.0
6005,A,24,175.0,976,7825.0,1000,,12.387714218972315,1.6988865214590603,8000,0,,12.0,,,,,,0,,,0.0,,,,3/30/2020,2020-03-29 18:00:00,89.0,3.0,HI,1412690.0
6006,C,88,424.0,1149,6162.0,1237,,13.33396229381889,2.7674261364529773,6586,6,51.0,74.0,1.603849238171612,,,,,2,6.0,0.18868814566724845,2.272727272727273,1.4150943396226416,23.0,5.4245283018867925,3/30/2020,2020-03-30 00:00:00,90.0,3.0,IA,3179850.0
6007,A,49,310.0,375,4396.0,424,,16.97551145573225,2.6832260042931617,4706,3,42.0,39.0,2.2999080036798527,,,,,1,6.0,0.32855828623997896,2.0408163265306123,1.935483870967742,,,3/30/2020,2020-03-29 19:00:00,89.0,3.0,ID,1826160.0
6008,A,461,5057.0,2223,25389.0,2684,,39.94565432040253,3.6414764962834822,30446,0,,,,,,,,8,73.0,0.5766329375893584,1.735357917570499,1.4435436029266362,,,3/30/2020,2020-03-29 00:00:00,89.0,3.0,IL,12659700.0
6009,B,272,1786.0,1556,9872.0,1828,,26.47749931434247,4.032407510358988,11658,0,,,,,,,,3,35.0,0.5188759664064875,1.1029411764705883,1.9596864501679732,,,3/30/2020,2020-03-29 12:59:00,89.0,3.0,IN,6745350.0
6010,B,49,368.0,360,4554.0,409,,12.644483843923089,1.6836405118267155,4922,11,,66.0,,,,,,2,8.0,0.2748800835635454,4.081632653061225,2.1739130434782608,,,3/30/2020,2020-03-30 11:00:00,90.0,3.0,KS,2910360.0
6011,A,45,439.0,432,5579.0,477,,9.756227651238197,1.000068893634895,6018,0,,,,,,,,0,9.0,0.20001377872697898,0.0,2.050113895216401,,,3/30/2020,2020-03-29 17:00:00,89.0,3.0,KY,4499690.0
6012,A,485,4025.0,5677,30008.0,6162,,86.64895655281389,10.44093016847571,34033,0,1185.0,,25.51031391679117,,,385.0,,34,185.0,3.9826228477690857,7.010309278350515,4.596273291925466,,,3/30/2020,2020-03-30 13:00:00,90.0,3.0,LA,4645180.0
6013,B,797,5653.0,2932,37166.0,3729,,81.02800791216352,11.423902760657054,42819,54,,453.0,,,,,,25,124.0,1.7773700656480234,3.136762860727729,2.193525561648682,,,3/30/2020,2020-03-30 16:15:00,90.0,3.0,MA,6976600.0
6014,A,174,1413.0,962,13316.0,1136,,23.22821183866174,2.860374281618643,14729,76,,353.0,,,,,,11,35.0,0.5753626428543247,6.321839080459771,2.4769992922859165,,,3/30/2020,2020-03-30 10:00:00,90.0,3.0,MD,6083120.0
6015,A,22,275.0,0,3394.0,22,,20.43409447239168,1.6347275577913345,3669,49,,49.0,,,,,,0,3.0,0.22291739424427287,0.0,1.090909090909091,41.0,14.909090909090908,3/30/2020,2020-03-30 12:00:00,90.0,3.0,ME,1345790.0
6016,B,1579,17363.0,5846,23263.0,7425,,172.85216525634644,15.71926331508213,40626,0,,,,,,,,86,437.0,4.350423096067695,5.446485117162761,2.5168461671370155,,,3/30/2020,2020-03-30 16:00:00,90.0,3.0,MI,10045000.0
6017,A,98,823.0,946,19512.0,1044,,14.436899522336848,1.7190961764143515,20335,17,56.0,92.0,0.9823406722367722,24.0,24.0,,,1,10.0,0.17541797718513788,1.0204081632653061,1.2150668286755772,,,3/30/2020,2020-03-30 00:00:00,90.0,3.0,MN,5700670.0
6018,C,193,1031.0,1657,13204.0,1850,,16.711863802362355,3.12840903380789,14235,0,,,,,,,,3,13.0,0.210721852018148,1.5544041450777202,1.2609117361784674,,,3/30/2020,2020-03-30 16:00:00,90.0,3.0,MO,6169270.0
6019,,0,2.0,0,,0,,,0.0,2,0,,,,,,,,0,,,0.0,,,,3/30/2020,2020-03-30 01:30:00,90.0,3.0,MP,57580.0
6020,B,89,847.0,429,2989.0,518,,28.334771816436174,2.9773254919277683,3836,-40,,195.0,,,,,,2,16.0,0.5352495266386998,2.247191011235955,1.8890200708382525,,,3/30/2020,2020-03-29 19:00:00,89.0,3.0,MS,2989260.0
6021,A,17,171.0,0,4143.0,17,,15.73484485995068,1.564282822334278,4314,2,,10.0,,,,,,3,4.0,0.3680665464315948,17.647058823529413,2.3391812865497075,,,3/30/2020,2020-03-30 10:00:00,90.0,3.0,MT,1086760.0
6022,A,267,1307.0,1652,19557.0,1919,,12.316361820220695,2.5160433098691093,20864,0,137.0,,1.2910034960751609,,,,,2,6.0,0.056540299098182235,0.7490636704119851,0.45906656465187456,,,3/30/2020,2020-03-30 11:00:00,90.0,3.0,NC,10611900.0
6023,B,11,109.0,373,3728.0,384,,14.309663749158158,1.4440945067957773,3837,2,,19.0,,,,,,1,2.0,0.26256263759923226,9.090909090909092,1.834862385321101,19.0,17.431192660550458,3/30/2020,2020-03-30 12:00:00,90.0,3.0,ND,761723.0
6024,A,37,145.0,616,2584.0,653,5.0,7.426110203475419,1.8949384657144175,2729,0,,,,,,,,0,2.0,0.10242910625483338,0.0,1.3793103448275863,,,3/30/2020,2020-03-30 14:30:00,90.0,3.0,NE,1952570.0
6025,B,100,314.0,862,5386.0,962,144.0,22.898814949863265,7.292616226071102,5700,12,,45.0,,,,,,1,3.0,0.2187784867821331,1.0,0.9554140127388535,,,3/30/2020,2020-03-29 09:00:00,89.0,3.0,NH,1371250.0
6026,A,3250,16636.0,3008,25224.0,6258,,186.1564336205054,36.367420609920806,41860,0,2000.0,,22.37995114456665,,,,,37,198.0,2.2156151633120986,1.1384615384615386,1.1901899495070931,,,3/30/2020,2020-03-29 13:30:00,89.0,3.0,NJ,8936570.0
6027,A,0,237.0,173,10942.0,173,,11.303800366300367,0.0,11179,0,22.0,,1.0492979242979243,,,,,0,2.0,0.09539072039072038,0.0,0.8438818565400843,26.0,10.970464135021098,3/30/2020,2020-03-29 00:00:00,89.0,3.0,NM,2096640.0
6028,A,270,1008.0,1795,10207.0,2065,,32.105387207532026,8.599657287731793,11215,0,,,,,,,,4,32.0,1.019218641508953,1.4814814814814816,3.1746031746031744,,,3/30/2020,2020-03-30 12:00:00,90.0,3.0,NV,3139660.0
6029,A,6984,66497.0,7124,119971.0,14108,,342.0539595175021,35.925001928962736,186468,1883,9517.0,14578.0,48.95450219901752,2352.0,,,,253,1218.0,6.265270954965151,3.6225658648339065,1.831661578717837,4204.0,6.322089718333158,3/30/2020,2020-03-29 09:16:00,89.0,3.0,NY,19440500.0
6030,B,280,1933.0,6330,25342.0,6610,,16.454284668488302,2.3834452701379845,27275,72,,475.0,,,163.0,,,10,39.0,0.3319798769120764,3.571428571428571,2.0175892395240558,,,3/30/2020,2020-03-30 14:00:00,90.0,3.0,OH,11747700.0
6031,B,52,481.0,2,1207.0,54,,12.162374014493706,1.3148512448101304,1688,13,,153.0,,103.0,,,,1,17.0,0.42985521464946574,1.9230769230769231,3.5343035343035343,,,3/30/2020,2020-03-30 08:00:00,90.0,3.0,OK,3954820.0
