PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,PEOPLE_POSITIVE_CASES_COUNT,DATA_COMPLETENESS_SCORE_NAME,REPORT_DATE,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PEOPLE_NEGATIVE_CASES_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
1058,NH,6091,B,7/15/2020,,,5101,7/14/2020 9:00:00 AM,137109,COVID Tracking Project Historical,1,,1081,191,131018,33,76,665,,23,23,392
20753,NJ,176278,A+,7/15/2020,151,,31400,7/15/2020 1:00:00 PM,1742347,COVID Tracking Project Historical,25,,21116,,1566069,34,142,20774,78,923,363,15607
5428,NM,15514,B,7/15/2020,,,6429,7/14/2020 6:04:00 PM,430006,COVID Tracking Project Historical,3,,5651,,414492,35,34,2261,,171,223,551
3396,NV,30468,A+,7/15/2020,251,,826,7/15/2020 1:00:00 PM,364425,COVID Tracking Project Historical,6,,4245,,333957,32,0,,124,1051,849,618
62767,NY,404006,A,7/15/2020,165,,71782,7/14/2020 11:59:00 PM,4848525,COVID Tracking Project Historical,9,,63598,,4444519,36,0,89995,94,831,831,25003
17558,OH,69311,B,7/15/2020,316,,47303,7/15/2020 2:00:00 PM,1062623,COVID Tracking Project Historical,6,,18874,2259,993312,39,160,9209,146,1027,1316,3075
4956,OK,22813,A+,7/15/2020,231,,17366,7/13/2020 12:00:00 AM,447325,COVID Tracking Project Historical,4,,6031,,424512,40,54,2170,,561,1075,432
0,OR,12805,A+,7/15/2020,64,,3129,7/14/2020 3:01:00 AM,305456,COVID Tracking Project Historical,0,,0,,292651,41,0,1254,35,235,0,244
20372,PA,97665,A+,7/15/2020,,,74436,7/15/2020 12:00:00 AM,968649,COVID Tracking Project Historical,26,,21366,,870984,42,0,,92,667,994,6957
0,PR,10379,B,7/15/2020,18,,,7/15/2020 6:30:00 AM,203065,COVID Tracking Project Historical,2,,256,,192686,72,0,,11,254,256,171
1165,RI,17640,A+,7/15/2020,5,,1707,7/15/2020 12:00:00 PM,175875,COVID Tracking Project Historical,2,,1217,,158235,44,5,2075,3,59,52,987
6646,SC,62245,A,7/15/2020,,,23849,7/14/2020 11:59:00 PM,525983,COVID Tracking Project Historical,5,,8502,,463738,45,0,3744,,1560,1856,998
1299,SD,7652,B,7/15/2020,,,6663,7/14/2020 6:00:00 PM,93543,COVID Tracking Project Historical,2,,1379,,85891,46,8,752,,59,80,111
23512,TN,69061,A,7/15/2020,,,39857,7/15/2020 3:00:00 PM,1097673,COVID Tracking Project Historical,16,,25785,,1028612,47,56,3434,,1282,2273,783
36212,TX,282365,B,7/15/2020,,,149276,7/15/2020 5:00:00 PM,2642199,COVID Tracking Project Historical,110,,43519,,2359834,48,0,,,10471,7307,3432
7146,UT,30891,A+,7/15/2020,83,,18593,7/15/2020 11:01:00 AM,432080,COVID Tracking Project Historical,7,214,7559,515,401189,49,25,1913,,250,413,233
13048,VA,73527,A+,7/15/2020,246,382,9527,7/14/2020 5:00:00 PM,844982,COVID Tracking Project Historical,15,,14132,,771455,51,58,10608,113,1081,1084,1992
553,VI,243,C,7/15/2020,,199,112,7/15/2020 7:10:00 AM,4880,COVID Tracking Project Historical,0,,590,,4637,78,0,,,,37,6
721,VT,1318,B,7/15/2020,,,1104,7/15/2020 12:00:00 AM,78358,COVID Tracking Project Historical,0,,734,,77040,50,0,,,19,13,56
9413,WA,42304,B,7/15/2020,,,,7/14/2020 2:59:00 AM,718234,COVID Tracking Project Historical,5,,9960,,675930,53,10,4788,55,353,547,1404
13104,WI,42197,A+,7/15/2020,88,177,29923,7/15/2020 4:00:00 PM,728496,COVID Tracking Project Historical,1,,13952,810,686299,55,31,3923,,295,848,834
3742,WV,4557,B,7/15/2020,26,,2999,7/15/2020 5:00:00 PM,217904,COVID Tracking Project Historical,0,,3892,,213347,54,0,,13,63,150,97
2852,WY,1985,B,7/15/2020,,,1506,7/15/2020 6:02:00 PM,42914,COVID Tracking Project Historical,0,,2886,,40929,56,3,131,,17,34,22
2843,AK,1579,A,7/14/2020,,,642,7/14/2020 12:00:00 AM,149473,COVID Tracking Project Historical,0,,2883,,147894,02,0,,1,25,40,17
7775,AL,57255,B,7/14/2020,,,25783,7/14/2020 11:00:00 AM,529089,COVID Tracking Project Historical,40,511,9485,931,471834,01,378,7123,,1353,1710,1164
6531,AR,29733,A,7/14/2020,,,22844,7/14/2020 3:43:00 PM,390299,COVID Tracking Project Historical,8,273,7325,,360566,05,36,1872,91,445,794,331
0,AS,0,C,7/14/2020,,,,7/1/2020 12:00:00 AM,816,COVID Tracking Project Historical,0,,0,,816,60,0,,,,0,0
15244,AZ,128097,A+,7/14/2020,970,,15678,7/14/2020 12:00:00 AM,721943,COVID Tracking Project Historical,92,,19517,,593846,04,103,5942,674,3517,4273,2337
123244,CA,336508,B,7/14/2020,2083,,,7/14/2020 12:00:00 AM,5674955,COVID Tracking Project Historical,47,,130590,,5338447,06,0,,,8145,7346,7087
5261,CO,37242,A,7/14/2020,,,4808,7/14/2020 1:59:00 AM,404955,COVID Tracking Project Historical,3,,5590,,367713,08,46,5941,,378,329,1589
2423,CT,47530,B,7/14/2020,,,8351,7/13/2020 8:30:00 PM,591761,COVID Tracking Project Historical,1,,2443,,544231,09,0,10552,,66,20,4372
3656,DC,10946,A+,7/14/2020,21,,1774,7/13/2020 12:00:00 AM,133916,COVID Tracking Project Historical,0,,3696,,122970,11,0,,14,91,40,568
2147,DE,12969,A+,7/14/2020,10,,7184,7/13/2020 6:00:00 PM,141600,COVID Tracking Project Historical,1,,2237,,128631,10,0,,,48,90,518
36475,FL,291629,A,7/14/2020,,387,,7/12/2020 11:59:00 PM,2685243,COVID Tracking Project Historical,133,,45669,,2393614,12,384,19201,,8354,9194,4514
19673,GA,123963,A,7/14/2020,,,,7/14/2020 2:50:00 PM,1131034,COVID Tracking Project Historical,28,,23067,2662,1007071,13,209,13685,,2741,3394,3054
195,GU,312,B,7/14/2020,,,210,7/13/2020 9:35:00 PM,17537,COVID Tracking Project Historical,0,,195,,17225,66,0,,,3,0,5
877,HI,1243,D,7/14/2020,,,911,7/13/2020 6:00:00 PM,96070,COVID Tracking Project Historical,3,,900,,94827,15,3,128,,,23,22
3372,IA,35849,A+,7/14/2020,67,,26952,7/14/2020 12:00:00 AM,380408,COVID Tracking Project Historical,3,,3692,,344559,19,0,,32,186,320,757
2652,ID,11402,A,7/14/2020,33,,3262,7/13/2020 7:00:00 PM,130284,COVID Tracking Project Historical,0,,3152,144,118882,16,23,500,,129,500,102
27739,IL,156638,A,7/14/2020,333,,,7/14/2020 12:00:00 AM,2042572,COVID Tracking Project Historical,25,,28446,,1885934,17,0,,126,1416,707,7419
7352,IN,52685,A+,7/14/2020,266,,39155,7/13/2020 11:59:00 PM,578409,COVID Tracking Project Historical,13,,8000,1620,525724,18,59,7633,73,767,648,2775
0,KS,20058,A,7/14/2020,,,920,7/13/2020 12:00:00 AM,231175,COVID Tracking Project Historical,0,160,0,410,211117,20,0,1343,,,0,288
13101,KY,20223,B,7/14/2020,84,,5389,7/14/2020 12:00:00 AM,455556,COVID Tracking Project Historical,6,,13671,1019,435333,21,11,2802,,449,570,635
20814,LA,82042,B,7/14/2020,,,46334,7/14/2020 1:00:00 PM,976455,COVID Tracking Project Historical,22,,23029,,894413,22,0,,146,1362,2215,3445
11768,MA,112130,A+,7/14/2020,93,,94347,7/14/2020 10:00:00 AM,978214,COVID Tracking Project Historical,10,,12071,,866084,25,14,11625,37,560,303,8340
13379,MD,74260,A,7/14/2020,118,,5238,7/14/2020 10:00:00 AM,666069,COVID Tracking Project Historical,9,,14112,,591809,24,18,11485,,415,733,3334
1505,ME,3566,A+,7/14/2020,7,,3062,7/13/2020 11:59:00 PM,125475,COVID Tracking Project Historical,0,,1513,,121909,23,1,373,3,17,8,114
19693,MI,77864,A+,7/14/2020,184,,53867,7/14/2020 12:00:00 AM,1333786,COVID Tracking Project Historical,5,,20359,,1255922,26,0,,109,543,666,6326
8227,MN,43170,A,7/14/2020,107,,37749,7/13/2020 5:00:00 PM,777614,COVID Tracking Project Historical,6,,8625,1348,734444,27,28,4452,,236,398,1548
8390,MO,28826,B,7/14/2020,,,,7/14/2020 3:00:00 PM,505103,COVID Tracking Project Historical,10,,9326,,476277,29,0,,74,811,936,1093
-70,MP,33,D,7/14/2020,,,19,7/12/2020 1:16:00 PM,10697,COVID Tracking Project Historical,0,,-70,,10664,69,0,4,,,0,2
5936,MS,37542,A,7/14/2020,227,,25932,7/13/2020 7:00:00 PM,350213,COVID Tracking Project Historical,22,,6798,,312671,28,55,3585,126,1059,862,1272
2592,MT,1952,C,7/14/2020,,,884,7/14/2020 12:00:00 AM,121396,COVID Tracking Project Historical,2,,2701,,119444,30,3,136,,29,109,34
32404,NC,89484,A,7/14/2020,,,67124,7/14/2020 11:30:00 AM,1254846,COVID Tracking Project Historical,42,,34360,,1165362,37,0,,,1109,1956,1552
1104,ND,4493,D,7/14/2020,,,3685,7/14/2020 12:00:00 AM,125033,COVID Tracking Project Historical,0,,1155,,120540,38,3,280,,42,51,78
4349,NE,21399,B,7/14/2020,,,16025,7/13/2020 8:05:00 AM,216235,COVID Tracking Project Historical,3,,4576,,194836,31,10,1431,,101,227,288
1148,NH,6068,B,7/14/2020,,,5056,7/13/2020 9:00:00 AM,136028,COVID Tracking Project Historical,0,,1162,191,129960,33,0,589,,24,14,391
20453,NJ,175915,A+,7/14/2020,149,,31318,7/14/2020 1:00:00 PM,1721231,COVID Tracking Project Historical,22,,20846,,1545316,34,0,20632,79,888,393,15582
5735,NM,15291,B,7/14/2020,,,6363,7/13/2020 5:52:00 PM,424355,COVID Tracking Project Historical,3,,5998,,409064,35,23,2227,,172,263,548
